(37.38447686116697, 994)
(36.74515527950309, 966)
(37.8410261569416, 994)
(37.465281690140834, 994)
(36.86094623655915, 930)
(37.87043390514628, 991)
(37.21911224489796, 980)
(37.38517489711934, 972)
(35.74205098493629, 863)
(37.19537435897435, 975)
(37.33348101265822, 948)
(36.98568965517239, 928)
(36.22291855203621, 884)
(37.591921024546394, 937)
(36.96401183431955, 845)
(37.81352678571427, 896)
(36.3129548088065, 863)
(38.060347826086904, 920)
(37.90612513721185, 911)
(36.683430167597805, 895)
(36.28355022831048, 876)
(37.77823129251703, 882)
(37.63358918918917, 925)
(38.328464328899656, 827)
(38.50537513997756, 893)
(35.421179422835635, 797)
(39.061284916201096, 895)
(37.630548571428626, 875)
(38.00954913294796, 865)
(37.31357232704408, 795)
(38.03107843137254, 816)
(36.794467564259485, 817)
(35.995504978662865, 703)
(36.02805298013244, 755)
(36.53765370138014, 797)
(38.20125770653514, 811)
(37.229848293299625, 791)
(35.26305194805197, 770)
(36.53303814713897, 734)
(35.960614596671014, 781)
(36.520373443983445, 723)
(34.4043001443002, 693)
(35.40771621621623, 740)
(37.81717948717947, 819)
(34.73063675832128, 691)
(36.8917671232877, 730)
(37.51326451612907, 775)
(35.20002954209751, 677)
(38.52435828877007, 748)
(38.75177314211214, 767)
(36.19880918220948, 697)
(36.77673789173793, 702)
(35.67432748538015, 684)
(37.55234501347709, 742)
(37.05392405063291, 790)
(34.11930576070906, 677)
(36.32210873146627, 607)
(35.817803738317785, 642)
(35.66292609351436, 663)
(31.893147826087016, 575)
(38.73629518072294, 664)
(36.16279106858057, 627)
(33.30422400000004, 625)
(36.72828298887125, 629)
(33.69171617161723, 606)
(37.1907525325615, 691)
(34.879453376205795, 622)
(36.56986803519063, 682)
(34.748973880597056, 536)
(34.74479687500002, 640)
(36.30316816816822, 666)
(39.35433281004715, 637)
(37.57112633181129, 657)
(33.579395973154426, 596)
(35.147247706422064, 545)
(38.32448467966577, 718)
(34.110528301886866, 530)
(36.60089763779529, 635)
(36.629137426900634, 684)
(32.851309963099666, 542)
(33.00356997971609, 493)
(33.92864059590322, 537)
(35.66790143084258, 629)
(32.81815789473687, 494)
(33.26675728155343, 515)
(36.2379491255962, 629)
(35.41395585738547, 589)
(35.92630712979894, 547)
(35.1805039370079, 635)
(32.0817525773196, 485)
(31.33325892857147, 448)
(36.90213080168782, 474)
(33.285482625482665, 518)
(38.38618595825428, 527)
(33.839592920353994, 565)
(31.574358353510927, 413)
(32.94351812366742, 469)
(36.929934640522895, 612)
(39.000789915966344, 595)
(34.4505210420842, 499)

