(38.142126379137416, 997)
(38.167793380140445, 997)
(37.9595630081301, 984)
(38.218123711340205, 970)
(37.748983402489635, 964)
(37.56564047362757, 929)
(39.24291203235592, 989)
(38.40352024922118, 963)
(37.83914646996838, 949)
(38.11828478964401, 927)
(37.45516542155816, 937)
(37.576967391304336, 920)
(36.88520716685329, 893)
(37.63451287793952, 893)
(37.631988826815636, 895)
(38.46340909090915, 968)
(37.09724217844727, 863)
(37.34122950819672, 854)
(37.34029919447642, 869)
(37.115060827250566, 822)
(37.87481888035126, 911)
(36.82435041716329, 839)
(38.811073903002296, 866)
(37.20996354799518, 823)
(38.10854415274462, 838)
(36.56718471337582, 785)
(39.46256410256408, 858)
(36.69546082949307, 868)
(35.68328145265888, 771)
(39.05530393325384, 839)
(38.26263657957244, 842)
(36.81466192170814, 843)
(38.079191655801814, 767)
(37.58967971530249, 843)
(37.1051102464332, 771)
(36.42421409214092, 738)
(34.54420679886685, 706)
(36.671185006045945, 827)
(36.196112637362646, 728)
(36.949766233766255, 770)
(35.174436416184975, 692)
(36.58835249042149, 783)
(36.42427828348506, 769)
(38.08246701846968, 758)
(37.87417413572345, 781)
(34.444848484848485, 627)
(36.33356545961003, 718)
(35.32498554913294, 692)
(37.20628330995794, 713)
(38.48952817824378, 763)
(35.21541139240504, 632)
(36.38490538573508, 687)
(36.11004385964909, 684)
(37.71903899721448, 718)
(38.62861559139784, 744)
(36.40478832116788, 685)
(35.88843226788428, 657)
(34.80130932896891, 611)
(35.38972899728998, 738)
(36.240431754874656, 718)
(33.46327464788733, 568)
(37.26245454545455, 660)
(36.500456852791885, 591)
(34.854911347517735, 564)
(35.102091836734694, 588)
(34.1473090909091, 550)
(35.78772435897435, 624)
(37.059079754601214, 652)
(34.925785256410265, 624)
(37.12456716417909, 670)
(32.031600753295706, 531)
(35.510973597359765, 606)
(34.77734042553189, 564)
(35.911524288107216, 597)
(35.84608617594254, 557)
(32.87211240310081, 516)
(36.07405320813769, 639)
(35.803567251462006, 684)
(31.094700239808162, 417)
(34.73772569444446, 576)
(36.035831960461294, 607)
(34.63808139534887, 516)
(35.86956293706292, 572)
(37.28510169491525, 590)
(34.986561403508794, 570)
(34.94253608247425, 485)
(36.98144385026737, 561)
(34.829517625231894, 539)
(34.691031578947396, 475)
(32.24172185430466, 453)
(37.162920962199316, 582)
(36.04640144665463, 553)
(35.848667850799295, 563)
(32.261879049676054, 463)
(35.49796703296703, 546)
(33.33248587570621, 531)
(35.717195357833674, 517)
(35.59309734513275, 452)
(34.75532258064518, 434)
(33.89241626794259, 418)

